"1","President","1","1"
"2","External Vice President","1","2"
"3","Internal Vice President","1","3"
"4","Secretary","1","4"
"5","Assistant Secretary","1","5"
"6","Treasurer","1","6"
"7","Auditor","1","7"
"8","Public Information Officers (Main)","1","8"
"9","Public Information Officers (Annex)","1","9"
"10","President","3","10"
"11","External Vice President","3","11"
"12","Internal Vice President","3","12"
"13","Secretary","3","13"
"14","Assistant Secretary","3","14"
"15","Treasurer","3","15"
"16","Auditor","3","16"
"17","Public Information Officers","3","17"
"18","Program Representative","2","18"
